127.0.0.1 - - [16/Feb/2024:13:59:25 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Feb/2024:13:59:26 +0530] "GET /CheckingPageProject/PageOne/wedIndex.html HTTP/1.1" 200 47522
0:0:0:0:0:0:0:1 - - [16/Feb/2024:13:59:26 +0530] "GET /CheckingPageProject/PageOne/wedding.css HTTP/1.1" 200 7885
0:0:0:0:0:0:0:1 - - [16/Feb/2024:13:59:26 +0530] "GET /CheckingPageProject/PageOne/wedding.js HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [16/Feb/2024:13:59:27 +0530] "GET /CheckingPageProject/IMAGES/jonathan-borba-JLmNneTy5CQ-unsplash.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [16/Feb/2024:13:59:27 +0530] "GET /CheckingPageProject/IMAGES/jonathan-borba-N8l5Xl_Liic-unsplash.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [16/Feb/2024:13:59:27 +0530] "GET /CheckingPageProject/IMAGES/aziz-acharki-Zf14BckA1JA-unsplash.jpg HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [16/Feb/2024:14:03:09 +0530] "GET /CheckingPageProject/index.html HTTP/1.1" 200 62238
0:0:0:0:0:0:0:1 - - [16/Feb/2024:14:03:09 +0530] "GET /CheckingPageProject/CSS/StyleOne.css HTTP/1.1" 200 11829
0:0:0:0:0:0:0:1 - - [16/Feb/2024:14:03:09 +0530] "GET /CheckingPageProject/JAVASCRIPT/scriptOne.js HTTP/1.1" 200 1849
0:0:0:0:0:0:0:1 - - [16/Feb/2024:14:03:09 +0530] "GET /CheckingPageProject/IMAGES/jonathan-borba-VwBGK97upKk-unsplash.jpg HTTP/1.1" 200 1784036
0:0:0:0:0:0:0:1 - - [16/Feb/2024:14:03:09 +0530] "GET /CheckingPageProject/IMAGES/aziz-acharki-Zf14BckA1JA-unsplash.jpg HTTP/1.1" 200 3049283
0:0:0:0:0:0:0:1 - - [16/Feb/2024:14:03:09 +0530] "GET /CheckingPageProject/IMAGES/emmanuel-acua-f3P6xfrj2P8-unsplash.jpg HTTP/1.1" 200 4501571
0:0:0:0:0:0:0:1 - - [16/Feb/2024:14:09:04 +0530] "GET /CheckingPageProject/preWedding/preIndex.html HTTP/1.1" 200 46816
0:0:0:0:0:0:0:1 - - [16/Feb/2024:14:09:04 +0530] "GET /CheckingPageProject/preWedding/prestyle.css HTTP/1.1" 200 7780
0:0:0:0:0:0:0:1 - - [16/Feb/2024:14:09:04 +0530] "GET /CheckingPageProject/IMAGES/jonathan-borba-JLmNneTy5CQ-unsplash.jpg HTTP/1.1" 200 5017318
0:0:0:0:0:0:0:1 - - [16/Feb/2024:14:09:04 +0530] "GET /CheckingPageProject/preWedding/preScript.js HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [16/Feb/2024:14:09:37 +0530] "GET /CheckingPageProject/preWedding/preIndex.html HTTP/1.1" 200 46828
0:0:0:0:0:0:0:1 - - [16/Feb/2024:14:09:38 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Feb/2024:14:09:51 +0530] "GET /CheckingPageProject/preWedding/preIndex.html HTTP/1.1" 200 46834
192.168.0.105 - - [16/Feb/2024:14:13:47 +0530] "GET / HTTP/1.1" 404 751
192.168.0.105 - - [16/Feb/2024:14:13:48 +0530] "GET /favicon.ico HTTP/1.1" 404 762
